# Sorted by L2 distance (descending).  '4+4' vs '4+9' at step02
# layer = -1 means a final / post-transformer tensor.
layer  tensor                                         L2       cos
   35  attn_out_pre_oproj_last                   12.8535    0.9897
   20  attn_logits_last                          12.7575    0.9977
   25  q_post_rope_last                          12.6116    0.9904
   25  q_post_qknorm_last                        12.6069    0.9904
   15  k_post_qknorm_last                        12.5990    0.9795
   15  k_post_rope_last                          12.5973    0.9795
   25  mlp_out_last                              12.5159    0.9610
   24  h_after_input_ln_last                     12.5034    0.9820
   21  k_post_qknorm_last                        12.4777    0.9809
   21  k_post_rope_last                          12.4757    0.9809
   16  hidden_out_last                           12.4724    0.9707
   17  hidden_in_last                            12.4724    0.9707
   23  mlp_out_last                              12.4693    0.9435
    3  attn_logits_last                          12.4592    0.9988
   18  q_pre_qknorm_last                         12.4551    0.9858
   24  attn_logits_last                          12.1804    0.9982
   13  q_post_rope_last                          11.8962    0.9841
   13  q_post_qknorm_last                        11.8946    0.9841
   22  mlp_out_last                              11.8749    0.9286
   26  q_post_qknorm_last                        11.8246    0.9882
   26  q_post_rope_last                          11.8231    0.9882
   27  q_post_qknorm_last                        11.8165    0.9919
   27  q_post_rope_last                          11.8141    0.9919
   15  hidden_out_last                           11.7666    0.9714
   16  hidden_in_last                            11.7666    0.9714
   14  k_post_rope_last                          11.7591    0.9905
   14  k_post_qknorm_last                        11.7517    0.9905
   23  k_post_rope_last                          11.7020    0.9883
   23  k_post_qknorm_last                        11.7018    0.9883
   23  h_after_input_ln_last                     11.6834    0.9763
   28  q_post_qknorm_last                        11.6323    0.9938
   28  q_post_rope_last                          11.6303    0.9938
   17  q_pre_qknorm_last                         11.6008    0.9819
   24  q_post_qknorm_last                        11.5661    0.9838
   24  q_post_rope_last                          11.5643    0.9838
   25  h_after_input_ln_last                     11.5564    0.9829
   16  q_pre_qknorm_last                         11.4995    0.9859
   30  q_post_qknorm_last                        11.3921    0.9950
   30  q_post_rope_last                          11.3911    0.9950
   12  q_post_qknorm_last                        11.2587    0.9927
   12  q_post_rope_last                          11.2564    0.9927
   21  mlp_out_last                              11.0188    0.9026
   20  mlp_out_last                              10.9340    0.8813
   34  attn_out_pre_oproj_last                   10.9019    0.9848
   11  attn_logits_last                          10.8803    0.9951
   28  k_pre_qknorm_last                         10.8609    0.9901
   24  k_post_rope_last                          10.8256    0.9855
   24  k_post_qknorm_last                        10.8237    0.9855
   22  k_post_rope_last                          10.7968    0.9880
   22  k_post_qknorm_last                        10.7951    0.9880
   16  attn_logits_last                          10.7516    0.9951
   26  k_pre_qknorm_last                         10.6710    0.9849
   21  h_after_input_ln_last                     10.6178    0.9700
   11  q_post_qknorm_last                        10.5654    0.9947
   11  q_post_rope_last                          10.5606    0.9947
   27  v_last                                    10.5078    0.9680
    9  attn_logits_last                          10.4935    0.9967
   10  q_post_rope_last                          10.4076    0.9952
   10  q_post_qknorm_last                        10.4035    0.9952
   35  h_after_post_attn_ln_last                 10.3033    0.9943
   13  hidden_out_last                           10.2425    0.9723
   14  hidden_in_last                            10.2425    0.9723
   28  v_last                                    10.1698    0.9746
   29  q_post_rope_last                          10.1642    0.9890
   29  q_post_qknorm_last                        10.1628    0.9890
   24  k_pre_qknorm_last                         10.1321    0.9846
   23  v_last                                    10.1237    0.9281
   29  h_after_post_attn_ln_last                 10.1017    0.9769
   13  k_post_rope_last                          10.0376    0.9847
   13  k_post_qknorm_last                        10.0343    0.9847
   21  h_after_post_attn_ln_last                 10.0117    0.9287
   30  h_after_post_attn_ln_last                  9.9770    0.9794
   28  h_after_post_attn_ln_last                  9.9753    0.9735
   35  q_post_rope_last                           9.9712    0.9965
   35  q_post_qknorm_last                         9.9671    0.9965
   27  k_pre_qknorm_last                          9.9176    0.9883
   21  v_last                                     9.8202    0.9047
   22  v_last                                     9.7836    0.9269
   14  hidden_out_last                            9.7655    0.9756
   15  hidden_in_last                             9.7655    0.9756
   32  h_after_post_attn_ln_last                  9.7485    0.9839
   26  k_post_rope_last                           9.6757    0.9866
   26  k_post_qknorm_last                         9.6740    0.9866
   26  h_after_post_attn_ln_last                  9.6330    0.9702
   27  h_after_post_attn_ln_last                  9.6312    0.9726
   31  h_after_post_attn_ln_last                  9.5810    0.9826
   26  v_last                                     9.5347    0.9626
   22  attn_logits_last                           9.5080    0.9986
   20  h_after_post_attn_ln_last                  9.5066    0.9182
   33  h_after_post_attn_ln_last                  9.4167    0.9864
   23  k_pre_qknorm_last                          9.3738    0.9862
   34  h_after_post_attn_ln_last                  9.3356    0.9891
