# Sorted by L2 distance (descending).  '4+4' vs '4+9' at step02
# layer = -1 means a final / post-transformer tensor.
layer  tensor                                         L2       cos
    1  h_after_input_ln_last                      0.0219    0.9999
    0  h_after_input_ln_last                      0.0000    1.0000
    0  hidden_in_last                             0.0000    1.0000
    0  k_post_qknorm_last                         0.0000    1.0000
    0  k_post_rope_last                           0.0000    1.0000
    0  k_pre_qknorm_last                          0.0000    1.0000
    0  key_seq_len                                0.0000    1.0000
    0  q_post_qknorm_last                         0.0000    1.0000
    0  q_post_rope_last                           0.0000    1.0000
    0  q_pre_qknorm_last                          0.0000    1.0000
    0  query_seq_len                              0.0000    1.0000
    0  v_last                                     0.0000    1.0000
    1  key_seq_len                                0.0000    1.0000
    1  query_seq_len                              0.0000    1.0000
    2  key_seq_len                                0.0000    1.0000
    2  query_seq_len                              0.0000    1.0000
    3  key_seq_len                                0.0000    1.0000
    3  query_seq_len                              0.0000    1.0000
    4  key_seq_len                                0.0000    1.0000
    4  query_seq_len                              0.0000    1.0000
    5  key_seq_len                                0.0000    1.0000
    5  query_seq_len                              0.0000    1.0000
    6  key_seq_len                                0.0000    1.0000
    6  query_seq_len                              0.0000    1.0000
    7  key_seq_len                                0.0000    1.0000
    7  query_seq_len                              0.0000    1.0000
    8  key_seq_len                                0.0000    1.0000
    8  query_seq_len                              0.0000    1.0000
    9  key_seq_len                                0.0000    1.0000
    9  query_seq_len                              0.0000    1.0000
   10  key_seq_len                                0.0000    1.0000
   10  query_seq_len                              0.0000    1.0000
   11  key_seq_len                                0.0000    1.0000
   11  query_seq_len                              0.0000    1.0000
   12  key_seq_len                                0.0000    1.0000
   12  query_seq_len                              0.0000    1.0000
   13  key_seq_len                                0.0000    1.0000
   13  query_seq_len                              0.0000    1.0000
   14  key_seq_len                                0.0000    1.0000
   14  query_seq_len                              0.0000    1.0000
   15  key_seq_len                                0.0000    1.0000
   15  query_seq_len                              0.0000    1.0000
   16  key_seq_len                                0.0000    1.0000
   16  query_seq_len                              0.0000    1.0000
   17  key_seq_len                                0.0000    1.0000
   17  query_seq_len                              0.0000    1.0000
   18  key_seq_len                                0.0000    1.0000
   18  query_seq_len                              0.0000    1.0000
   19  key_seq_len                                0.0000    1.0000
   19  query_seq_len                              0.0000    1.0000
   20  key_seq_len                                0.0000    1.0000
   20  query_seq_len                              0.0000    1.0000
   21  key_seq_len                                0.0000    1.0000
   21  query_seq_len                              0.0000    1.0000
   22  key_seq_len                                0.0000    1.0000
   22  query_seq_len                              0.0000    1.0000
   23  key_seq_len                                0.0000    1.0000
   23  query_seq_len                              0.0000    1.0000
   24  key_seq_len                                0.0000    1.0000
   24  query_seq_len                              0.0000    1.0000
   25  key_seq_len                                0.0000    1.0000
   25  query_seq_len                              0.0000    1.0000
   26  key_seq_len                                0.0000    1.0000
   26  query_seq_len                              0.0000    1.0000
   27  key_seq_len                                0.0000    1.0000
   27  query_seq_len                              0.0000    1.0000
   28  key_seq_len                                0.0000    1.0000
   28  query_seq_len                              0.0000    1.0000
   29  key_seq_len                                0.0000    1.0000
   29  query_seq_len                              0.0000    1.0000
   30  key_seq_len                                0.0000    1.0000
   30  query_seq_len                              0.0000    1.0000
   31  key_seq_len                                0.0000    1.0000
   31  query_seq_len                              0.0000    1.0000
   32  key_seq_len                                0.0000    1.0000
   32  query_seq_len                              0.0000    1.0000
   33  key_seq_len                                0.0000    1.0000
   33  query_seq_len                              0.0000    1.0000
   34  key_seq_len                                0.0000    1.0000
   34  query_seq_len                              0.0000    1.0000
   35  key_seq_len                                0.0000    1.0000
   35  query_seq_len                              0.0000    1.0000
